07/25/2017                                                                Dynamic List Display                                                                        1


	Order	Material	Order Type	MRP ctrlr	Pr.Superv.	Plant	Target qty	Unit	Bsc start	Basic fin.	Act. Start	Act.finish	Release	Release	Act.finish	ActStart
	161223135	30277-1101	ZP02	K38	K63	2475	        1	EA	05/02/2017	05/05/2017	04/26/2017	05/17/2017	04/25/2017	05/02/2017	00:00:00	07:26:47
	161223138	30277-1101	ZP02	K38	K63	2475	        1	EA	04/25/2017	05/05/2017	04/26/2017	05/10/2017	04/25/2017	04/25/2017	00:00:00	08:31:48
	161223139	30277-1101	ZP02	K38	K63	2475	        1	EA	04/26/2017	05/08/2017	04/26/2017	05/12/2017	04/25/2017	04/26/2017	00:00:00	08:46:42
	161224612	30305-0101	ZP02	K38	K63	2475	        1	EA	04/14/2017	05/05/2017	04/27/2017	05/11/2017	04/25/2017	04/14/2017	00:00:00	06:11:39
	161224614	30305-0101	ZP02	K38	K63	2475	        1	EA	04/14/2017	05/05/2017	04/27/2017	05/12/2017	04/25/2017	04/14/2017	00:00:00	07:21:55
	161224617	30305-0101	ZP02	K38	K63	2475	        1	EA	04/14/2017	05/05/2017	04/28/2017	05/12/2017	04/25/2017	04/14/2017	00:00:00	11:21:44
	161224630	30279-0105	ZP02	K38	K51	2475	        1	EA	04/19/2017	05/03/2017	05/01/2017	05/12/2017	04/25/2017	04/19/2017	00:00:00	09:51:39
	161226044	30279-0105	ZP02	K38	K51	2475	        1	EA	04/20/2017	05/04/2017	04/30/2017	05/12/2017	04/25/2017	04/20/2017	00:00:00	05:41:29
	161229051	30279-2402-0501	ZRW2	KA2	K51	2475	        1	EA	05/25/2017	05/26/2017	05/09/2017	06/02/2017	04/26/2017	05/25/2017	00:00:00	12:36:28
	161229682	472147-001	ZP02	K38	K51	2475	        1	EA	04/10/2017	04/19/2017	05/16/2017	06/15/2017	04/26/2017	04/10/2017	00:00:00	10:41:39
	161231246	30305-0101	ZP02	K38	K63	2475	        1	EA	04/17/2017	05/08/2017	04/28/2017	05/12/2017	04/26/2017	04/17/2017	00:00:00	12:16:43
	161231258	30305-0101	ZP02	K38	K63	2475	        1	EA	04/17/2017	05/08/2017	05/01/2017	05/16/2017	04/26/2017	04/17/2017	00:00:00	10:31:46
	161231271	30305-0101	ZP02	K38	K63	2475	        1	EA	04/19/2017	05/10/2017	05/01/2017	05/16/2017	04/26/2017	04/19/2017	00:00:00	10:51:36
	161231282	30305-0101	ZP02	K38	K63	2475	        1	EA	04/19/2017	05/10/2017	05/01/2017	05/16/2017	04/26/2017	04/19/2017	00:00:00	12:56:31
	161231318	30277-0402-0201	ZP02	K38	K51	2475	        5	EA	04/27/2017	05/04/2017	05/09/2017	05/10/2017	04/26/2017	04/27/2017	00:00:00	06:51:44
	161238149	30277-1101	ZP02	K38	K63	2475	        1	EA	04/27/2017	05/09/2017	05/03/2017	05/12/2017	04/27/2017	04/27/2017	00:00:00	04:31:40
	161238153	30277-1101	ZP02	K38	K63	2475	        1	EA	04/27/2017	05/09/2017	05/03/2017	05/18/2017	04/27/2017	04/27/2017	00:00:00	05:11:40
	161238158	30277-1101	ZP02	K38	K63	2475	        1	EA	04/27/2017	05/09/2017	05/03/2017	05/19/2017	04/27/2017	04/27/2017	00:00:00	05:51:40
	161238214	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	03/21/2017	03/23/2017	04/27/2017	05/22/2017	04/27/2017	03/21/2017	00:00:00	08:31:56
	161238238	30305-0101	ZP02	K38	K63	2475	        1	EA	04/20/2017	05/11/2017	05/04/2017	05/17/2017	04/27/2017	04/20/2017	00:00:00	05:56:42
	161238241	30305-0101	ZP02	K38	K63	2475	        1	EA	04/20/2017	05/11/2017	05/04/2017	05/16/2017	04/27/2017	04/20/2017	00:00:00	06:56:45
	161238321	30279-0301	ZP02	K38	K51	2475	        1	EA	05/01/2017	05/12/2017	04/30/2017	06/29/2017	04/27/2017	05/01/2017	00:00:00	08:01:43
