07/25/2017                                                                                                              Dynamic List Display                                                                                                                      1


	Order	Activity	Work cntr.	Operation short text	Op. Qty	Actl Start	Act. start	Act.finish	Act.finish	              Move time	             Queue time	Sys.Status	Duration	                  Setup	User field	User field	              Wait time
	160103421	0020	CMA13000	HUMS TEST	     1	08/31/2016	12:11:40	08/31/2016	12:11:40	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	08/31/2016	                  0.000
	160103421	0030	CMQ13000	HUMS INSPECTION	     1	09/02/2016	12:59:49	09/02/2016	12:59:49	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	ACC -541	09/02/2016	                  0.000
	160103421	0035	CMA12000	HUMS MECH ASSEMBLY	     1	09/02/2016	12:59:49	09/02/2016	12:59:49	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	0058969	09/02/2016	                  0.000
	160103421	0040	HNT11000	Burn-In Test	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	   79.2	                 15.000	DIS-866	09/08/2016	                  0.000
	160103421	0041	CMA13000	HUMS TEST	     1	10/06/2016	11:01:50	10/06/2016	11:01:50	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	10/06/2016	                  0.000
	160103421	0042	HNT11000	Burn-In Test	     1	10/12/2016	08:56:30	10/12/2016	12:51:38	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	DIS-866	10/07/2016	                  0.000
	160103421	0043	CMA11000	Hums Electrical Rework	     1	10/13/2016	03:11:58	10/13/2016	03:11:58	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	10/13/2016	                  0.000
	160103421	0044	CMA13000	HUMS TEST	     1	10/14/2016	08:26:44	10/14/2016	10:16:55	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	10/14/2016	                  0.000
	160103421	0045	HNT11000	Burn-In Test	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	    0.0	                  0.000	DIS-851	10/17/2016	                  0.000
	160103421	0046	CMA13000	HUMS TEST	     1	10/26/2016	13:16:37	10/26/2016	13:16:37	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	10/26/2016	                  0.000
	160103421	0047	CMA11000	Hums Electrical Rework	     1	10/27/2016	02:46:43	10/27/2016	03:56:46	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	10/27/2016	                  0.000
	160103421	0048	CMQ13000	HUMS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	    0.0	                  0.000	QOP -271 	10/27/2016	                  0.000
	160103421	0049	CMA13000	HUMS TEST	     1	10/27/2016	08:02:45	11/04/2016	05:26:24	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	10/27/2016	                  0.000
	160103421	0050	HNT11000	Burn-In Test	     1	11/02/2016	14:11:22	11/02/2016	14:11:22	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	DIS-866	11/03/2016	                  0.000
	160103421	0051	CMA13000	HUMS TEST	     1	11/04/2016	10:52:39	11/04/2016	10:52:39	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	11/04/2016	                  0.000
	160103421	0052	CMA11000	Hums Electrical Rework	     1	11/04/2016	13:07:44	11/08/2016	06:51:15	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	11/08/2016	                  0.000
	160103421	0053	CMQ13000	HUMS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	    0.0	                  0.000	QOP -271 	11/08/2016	                  0.000
	160103421	0054	CMA13000	HUMS TEST	     1	11/11/2016	07:36:40	11/14/2016	10:02:43	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	11/11/2016	                  0.000
	160103421	0055	HNT11000	Burn-In Test	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	    0.0	                  0.000	DIS-80	11/15/2016	                  0.000
	160103421	0056	CMA13000	HUMS TEST	     1	11/21/2016	05:57:51	11/21/2016	05:57:51	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	11/21/2016	                  0.000
	160103421	0057	CMA11000	Hums Electrical Rework	     1	11/21/2016	06:37:48	11/21/2016	06:37:48	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	11/21/2016	                  0.000
	160103421	0058	CMQ13000	HUMS INSPECTION	     1	11/21/2016	06:37:48	11/21/2016	06:37:48	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	11/21/2016	                  0.000
	160103421	0059	CMA13000	HUMS TEST	     1	11/28/2016	10:09:23	11/28/2016	10:09:23	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	11/22/2016	                  0.000
	160103421	0060	HNT11000	Burn-In Test	     1	11/23/2016	02:32:52	11/23/2016	19:37:00	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	DIS-260	11/23/2016	                  0.000
	160103421	0061	CMA11000	Hums Electrical Rework	     1	01/19/2017	10:46:13	01/19/2017	13:01:20	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	01/19/2017	                  0.000
	160103421	0062	CMA13000	HUMS TEST	     1	01/23/2017	10:07:17	01/23/2017	10:07:17	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	01/20/2017	                  0.000
	160103421	0063	HNT11000	Burn-In Test	     1	02/01/2017	12:41:33	02/01/2017	12:41:33	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	DIS-49	02/01/2017	                  0.000
	160103421	0064	CMA13000	HUMS TEST	     1	03/06/2017	10:41:21	03/27/2017	08:31:29	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	03/27/2017	                  0.000
	160103421	0065	CMA11000	Hums Electrical Rework	     1	03/27/2017	09:56:20	03/27/2017	09:56:20	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	03/27/2017	                  0.000
	160103421	0066	CMQ13000	HUMS INSPECTION	     1	03/27/2017	09:21:21	03/27/2017	09:56:20	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-189	03/27/2017	                  0.000
	160103421	0067	CMA13000	HUMS TEST	     1	03/27/2017	13:11:41	03/27/2017	13:11:41	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	03/27/2017	                  0.000
	160103421	0068	HNT11000	Burn-In Test	     1	03/29/2017	11:41:39	03/29/2017	16:31:30	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	DIS-260	03/29/2017	                  0.000
	160103421	0069	CMA13000	Rework: Test	     1	03/31/2017	10:56:17	07/24/2017	07:51:41	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	FCT-60	07/24/2017	                  0.000
	160103421	0070	CMA12000	Rework-HUMS Mechanical	     1	07/24/2017	07:31:26	07/24/2017	08:16:32	                  0.000	                  4.000	PCNF PRT  REL	    0.0	                  0.000	0058969	07/24/2017	                  0.000
