07/25/2017                                                                    Dynamic List Display                                                                           1

07/25/2017			                                                            Serial Numbers Assigned to Deliveries											  1

Serial Numbers Assigned to Deliveries

	DlvTy	Material		Delivery quantity	SU	Plnt	SLoc	Batch	Serial number	Ac.GI date	TRKID#	Forwarding agent tracking ID	Material Description
	ZLF	30305-0101		               1	EA	2475	SHP5	0016989156	0848	05/17/2017	722958627820		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0016963346	0840	05/19/2017	722958629547		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30277-1101		               1	EA	2475	SHP5	0017001182	00905	05/18/2017	722958628805		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	30305-0101		               1	EA	2475	SHP5	0016989112	0847	05/18/2017	722958628404		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0017103366	B942-01648	05/23/2017	725539659049		VEHICLE HEALTH MANAGEMENT UNIT
	ZLF	30305-0101		               1	EA	2475	SHP5	0017025212	0856	05/24/2017	725539659748		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017088475	0859	05/24/2017	725539660064		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017025187	0855	05/24/2017	725539659807		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30305-0101		               1	EA	2475	SHP5	0017102416	0861	05/24/2017	725539660330		CONTROLLER TEMP ENGINE NOSE GEARBOX
	NL	30279-0404-0306		               2	EA	2475	SHP5	0016808579	P22017	05/22/2017			CIRCUIT CARD MOTHER BOARD IVHMU
	NL	30279-0404-0306		               2	EA	2475	SHP5	0016808579	P22027	05/22/2017			CIRCUIT CARD MOTHER BOARD IVHMU
	NL	30190-0404-0101		               1	EA	2475	SHP5	0017054756	10641	05/22/2017			CIRCUIT CARD A5 INTERCONNECT ASSY
